location_id,latitude,longitude,dist_road_m,dist_hospital_m,flood_risk
141,22.479999999999993,88.31499999999998,15.033570538369434,1048.3986464749582,0.0
142,22.484999999999992,88.31499999999998,29.195181881302055,1159.9042928030408,0.0
143,22.48999999999999,88.31499999999998,19.123588229805833,639.4107312339322,0.0
144,22.49499999999999,88.31499999999998,9.993318251826283,291.9477618342383,0.0
145,22.49999999999999,88.31499999999998,16.910728387245378,197.32575430518708,0.0
146,22.50499999999999,88.31499999999998,7.248021519993218,598.9715599730912,0.0
147,22.509999999999987,88.31499999999998,4.9280127117759776,688.5902081521059,0.0
148,22.514999999999986,88.31499999999998,42.18089387330706,729.5373010261062,0.0
149,22.519999999999985,88.31499999999998,9.474629833271987,710.2503567328524,0.0
150,22.524999999999984,88.31499999999998,6.392922595097147,1043.845156610109,0.0
151,22.529999999999983,88.31499999999998,40.683920239691,1084.9289321087997,0.0
152,22.534999999999982,88.31499999999998,37.515805033904414,981.3889656306231,0.0
153,22.53999999999998,88.31499999999998,108.07170574107127,840.0458810320375,0.0
154,22.54499999999998,88.31499999999998,8.569632893315463,513.2104570902005,0.0
155,22.54999999999998,88.31499999999998,237.33565371810064,658.8020822419176,0.0
156,22.55499999999998,88.31499999999998,5.135403322039538,928.4991324561398,0.0
157,22.559999999999977,88.31499999999998,1.64056023898776,483.32763272441997,0.0
158,22.564999999999976,88.31499999999998,11.522399835533577,466.9387589067412,0.0
159,22.569999999999975,88.31499999999998,19.64878941871112,901.9291549462256,0.0
160,22.574999999999974,88.31499999999998,15.782108854333208,883.5212843970553,0.0
161,22.579999999999973,88.31499999999998,12.310741519445557,519.558686770596,0.0
162,22.584999999999972,88.31499999999998,7.355434033133379,575.714084071008,0.0
163,22.58999999999997,88.31499999999998,11.148752264219999,690.6479613180512,0.0
164,22.59499999999997,88.31499999999998,31.895747301506933,1111.5200128086358,0.0
165,22.59999999999997,88.31499999999998,30.899328876035096,1614.5879405510295,0.0
166,22.60499999999997,88.31499999999998,27.350613906120575,2142.7198037531366,0.0
167,22.609999999999967,88.31499999999998,41.09701904968158,1824.000274376122,0.0
168,22.614999999999966,88.31499999999998,9.051737323838667,1578.4643656444707,0.0
169,22.619999999999965,88.31499999999998,164.51701005336054,1506.3392444051572,0.0
170,22.624999999999964,88.31499999999998,19.718378862885842,1630.798152045281,0.0
171,22.629999999999963,88.31499999999998,59.665730299175394,1570.8092907263083,0.0
172,22.634999999999962,88.31499999999998,58.8400887556448,1356.1832514441312,0.0
173,22.63999999999996,88.31499999999998,1.3221646512320318,1350.5437789092316,0.0
174,22.64499999999996,88.31499999999998,40.517933723345294,1556.1649671876573,0.0
175,22.64999999999996,88.31499999999998,39.357170357175555,1905.8533118575729,0.0
176,22.65499999999996,88.31499999999998,138.01604196532776,2335.776517226234,0.0
177,22.659999999999958,88.31499999999998,124.9743088539026,2760.4782230442424,0.0
178,22.664999999999957,88.31499999999998,31.943094823873242,2699.7070482626177,0.0
179,22.669999999999956,88.31499999999998,77.49208183159475,2751.281162284812,0.0
180,22.45,88.31999999999998,11.315664986771633,999.4511356462283,0.0
